#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
chaoschampions;Chaos Champions;;;;;;;;;;;;;x
nurglitechampions;Plague Champions;;;;;;;;;;;;;x
khornatechampions;Khorne Berserkers;;;;;;;;;;;;;x
slaaneshichampions;Exalted Ones;;;;;;;;;;;;;x
tzeentchchampions;Brood Lords;;;;;;;;;;;;;x
norscanoathsworn;Oathsworn;;;;;;;;;;;;;x
hungnoblecavalry;Noble Cavalry;;;;;;;;;;;;;x
kurganmaraudercavalry;Marauder Cavalry;;;;;;;;;;;;;x
#TILEANS/ESTALIANS/MYKENS
elitecondottieri;Elite Condottieri;;;;;;;;;;;;;x
crossbowcondottieri;Crossbow Condottieri;;;;;;;;;;;;;x
pikecondottieri;Pike Condottieri;;;;;;;;;;;;;x
conquistadors;Conquistadors;;;;;;;;;;;;;x
jinetes;Jinetes;;;;;;;;;;;;;x
caballeros;Caballeros;;;;;;;;;;;;;x
royalthorax_hoplites;Royal Thorax Hoplites;;;;;;;;;;;;;x
theuros_spears;Theuros Spears;;;;;;;;;;;;;x
agema_cavalry;Agema Cavalry;;;;;;;;;;;;;x
myrmidons;Myrmidons;;;;;;;;;;;;;x
