passing_asuryan;Passing the Flames;;;;;;;;;;;;;;x
passing_asuryan_desc;It is tradition for the Phoenix King to be legitimized by Asuryan himself by crossing his holy flames. If the Prince re-emerges unscathed, then it is recognized as the rightful ruler of the Asur.;;;;;;;;;;;;;;x
EVTDESCasur1;The priestesses make sure you are ready, casting the proper protective spells before you leap into the flames that will consecrate you as the rightful ruler of Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur1;May Asuryan judge me well.;;;;;;;;;;;;;;x
EVTDESCasur2;You emerge unscathed from the holy flames and the priestesses raise their praises to the Gods and their chosen ruler, the new Phoenix King.;;;;;;;;;;;;;;x
EVTOPTAasur2;Asuryan blesses me.;;;;;;;;;;;;;;x
EVTDESCasur3;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze scourges your skin, passing through your protective spells and burning your flesh. The priestesses manage to recover you, shrieking and maimed, saving your life, but the will of the Gods has been made clear today. You are not the rightful heir to the Phoenix Crown.;;;;;;;;;;;;;;x
EVTOPTAasur3;Aaargh!;;;;;;;;;;;;;;x
EVTDESCasur4;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze scourges your skin, passing through your protective spells and burning your flesh. The priestesses struggle to recover you, but your offence must be great indeed, for they cannot manage to recovered anything but a blackened carcass.;;;;;;;;;;;;;;x
EVTOPTAasur4;...;;;;;;;;;;;;;;x
EVTDESCasur5;[From.GetTitledFirstName] has passed through the flames of Asuryan without being burned, thus proving his divinely-given right to rule over Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur5;Long live the Phoenix King!;;;;;;;;;;;;;;x
EVTOPTBasur5;What a weird custom.;;;;;;;;;;;;;;x
EVTDESCasur6;[From.GetTitledFirstName] tried to pass through the flames of Asuryan, but the god saw his wickedness and burned him, sculpting a blasphemous shape around a blasphemous heart.;;;;;;;;;;;;;;x
EVTOPTAasur6;He cannot wear the crown!;;;;;;;;;;;;;;x
EVTOPTBasur6;He was burned for crossing a fire. So what?;;;;;;;;;;;;;;x
EVTDESCasur7;Your [GetFromRelation] was burned by the holy flames of Asuryan, thus disgracing his whole line with himself.;;;;;;;;;;;;;;x
EVTOPTAasur7;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur8;The healing spells are slowly putting you back to health, but the scourge of Asuryan remains, marking your skin, heaving on your troubled soul.;;;;;;;;;;;;;;x
EVTOPTAasur8;How could this happen?;;;;;;;;;;;;;;x
EVTDESCasur9;[From.GetTitledFirstName] tried to pass through the flames of Asuryan, but the God saw his wickedness and burned him, leaving nothing but a blackened carcass in his wake.;;;;;;;;;;;;;;x
EVTOPTAasur9;A false king has been revealed by the righteous gods!;;;;;;;;;;;;;;x
EVTOPTBasur9;Why did he even crossed a fire in the first place?;;;;;;;;;;;;;;x
EVTDESCasur10;Your [GetFromRelation] was burned by the holy flames of Asuryan, dying a horrible death and disgracing his whole bloodline.;;;;;;;;;;;;;;x
EVTOPTAasur10;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur11;You've been chosen by the Dragon Princes to take the lead of Ulthuan, following the disgracing realm of [From.GetFirstName].;;;;;;;;;;;;;;x
EVTOPTAasur11;I will reign in the grace of Asuryan.;;;;;;;;;;;;;;x
renounce_cadai;Renounce Cadai;;;;;;;;;;;;;;x
renounce_cadai_desc;Asuryan has cursed you, is it really worth it to worship a God who despises your rule?;;;;;;;;;;;;;;x
EVTDESCasur12;Following in the footsteps of the blasphemous Witch-King, [From.GetTitledFirstName] has renounced Asuryan to follow Kaela Mensha Khaine, planting the seeds for a potential second Sundering.;;;;;;;;;;;;;;x
EVTOPTAasur12;He is right!;;;;;;;;;;;;;;x
