#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CHAOS/NORSCAN
tb_chaos_knights_1;Chaos Knight Stable;;;;;;;;;;;;;x
tb_chaos_knights_2;Chaos Knight Stable;;;;;;;;;;;;;x
tb_chaos_knights_3;Chaos Knight Stable;;;;;;;;;;;;;x
tb_chaos_knights_4;Chaos Knight Stable;;;;;;;;;;;;;x
tb_chaos_knights_desc;Chaos Knights are a sight to behold, mutants, madmen, and freaks, they fear no enemy, for they have their gods watchful eyes upon them, thundering down fields and ruthlessly trampling anything that gets in their way.;;;;;;;;;;;;;x
tb_chaossteppe_stable_1;Marauder Muster;;;;;;;;;;;;;x
tb_chaossteppe_stable_2;Marauder Muster;;;;;;;;;;;;;x
tb_chaossteppe_stable_3;Marauder Muster;;;;;;;;;;;;;x
tb_chaossteppe_stable_4;Marauder Muster;;;;;;;;;;;;;x
tb_chaossteppe_stable_desc;Here are where the Chaos marauders gather, having spent their entire lives on the saddle, they are fearsome horsemen and terrible foes.;;;;;;;;;;;;;x
tb_steppechaos_barracks_1;Chaos Steppe Barracks;;;;;;;;;;;;;x
tb_steppechaos_barracks_2;Chaos Steppe Barracks;;;;;;;;;;;;;x
tb_steppechaos_barracks_3;Chaos Steppe Barracks;;;;;;;;;;;;;x
tb_steppechaos_barracks_4;Chaos Steppe Barracks;;;;;;;;;;;;;x
tb_steppechaos_barracks_desc;The chaos wastes are constantly changing, sometimes on the whims of the dark gods, and so the tribes of the north must be ready to move south to survive. These warriors are hardened by the cold north wind, and are fast on their horses, running down anybody that would run from them.Kurgan Mustering Grounds;;;;;;;;;;;;;x
tb_steppekurgan_militia_1;Kurgan Freehold;;;;;;;;;;;;;x
tb_steppekurgan_militia_2;Kurgan Freehold;;;;;;;;;;;;;x
tb_steppekurgan_militia_3;Kurgan Freehold;;;;;;;;;;;;;x
tb_steppekurgan_militia_4;Kurgan Freehold;;;;;;;;;;;;;x
tb_steppekurgan_militia_desc;While the Hung steppe requires horsemanship to survive, Kurgan lands are more rough, less flat, and full of forests, making horse combat less all-consuming, but that doesn't mean these troops are anything but fodder.;;;;;;;;;;;;;x
