#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
January;Nachhexen (1);Janvier;Januar;Styczeñ;Enero;Gennaio;Január;Leden;;;;;;x
February;Jahrdrung (2);Février;Februar;Luty;Febrero;Febbraio;Február;Únor;;;;;;x
March;Pflugzeit (3);Mars;März;Marzec;Marzo;Marzo;Március;Bøezen;;;;;;x
April;Sigmarzeit (4);Avril;April;Kwiecieñ;Abril;Aprile;Április;Duben;;;;;;x
May;Sommerzeit (5);Mai;Mai;Maj;Mayo;Maggio;Május;Kvìten;;;;;;x
June;Vorgeheim (6);Juin;Juni;Czerwiec;Junio;Giugno;Június;Èerven;;;;;;x
July;Nachgeheim (7);Juillet;Juli;Lipiec;Julio;Luglio;Július;Èervenec;;;;;;x
August;Erntzeit (8);Août;August;Sierpieñ;Agosto;Agosto;Augusztus;Srpen;;;;;;x
September;Brauzeit (9);Septembre;September;Wrzesieñ;Septiembre;Settembre;September;Záøí;;;;;;x
October;Kaldezeit (10);Octobre;Oktober;PaŸdziernik;Octubre;Ottobre;Október;Øíjen;;;;;;x
November;Ulriczeit (11);Novembre;November;Listopad;Noviembre;Novembre;November;Listopad;;;;;;x
December;Vorhexen (12);Décembre;Dezember;Grudzieñ;Diciembre;Dicembre;December;Prosinec;;;;;;x
Sunday;Sunday;Dimanche;Sonntag;Nd;Domingo;Domenica;Vasárnap;Nedìle;;;;;;x
Monday;Monday;Lundi;Montag;Pn;Lunes;Lunedì;Hétfõ;Pondìlí;;;;;;x
Tuesday;Tuesday;Mardi;Dienstag;Wt;Martes;Martedì;Kedd;Úterý;;;;;;x
Wednesday;Wednesday;Mercredi;Mittwoch;Œr;Miércoles;Mercoledì;Szerda;Støeda;;;;;;x
Thursday;Thursday;Jeudi;Donnerstag;Cz;Jueves;Giovedì;Csütörtök;Ètvrtek;;;;;;x
Friday;Friday;Vendredi;Freitag;Pt;Viernes;Venerdì;Péntek;Pátek;;;;;;x
Saturday;Saturday;Samedi;Samstag;So;Sábado;Sabato;Szombat;Sobota;;;;;;x
marsh;Marsh;;;;;;;;;;;;;x
wasteland;Wasteland;;;;;;;;;;;;;x
mountain_pass;Mountain Pass;;;;;;;;;;;;;x

#Bookmarks
#BM_NORTHERN_MERCANTILE_SOCIETY;The Northern Mercantile Society;;;;;;;;;;;;;x
#BM_NORTHERN_MERCANTILE_SOCIETY_DESC;In a bid to regain some of the trade lost from the secession of Marienburg, the Electors of Hochland, Ostland and Nordland have funded the foundation of a new merchant league in the Sea of Claws. Based in the towns of Neues Emskrank and Salkalten, Jens-Peter hopes to build a profitable enterprise in the northern Empire. With fierce opposition from the established powers in Marienburg and Erengrad, the survival of the Northern Mercantile Society is not guaranteed.;;;;;;;;;;;;;x
PICK_STARTING_ERA_TEXT;Choose your region.;;;;;;;;;;;;;x
PICK_ERA_YEAR;$YEAR$ I.C.;;;;;;;;;;;;;x
EARLY_MED;The Vampire Wars;;;;;;;;;;;;;x
EARLY_MED_INFO;The turn of the millennium was a time of great change and upheaval in what was left of the Empire. It was heralded in an ominous fashion when the city of Mordheim was destroyed by a warpstone meteor at the stroke of midnight. For over six centuries the Empire had been in a state of civil war, with each of claimants to the Imperial throne making war upon any who would deny their right to rule. This infighting would prove to have disastrous consequences...;;;;;;;;;;;;;x 
HIGH_MED;Realms of Chaos;;;;;;;;;;;;;x
HIGH_MED_INFO;The lands of the north are not just cold and savage. Beyond the merely mundane threats, the polar Warp Gates open to the Realm of Chaos and pulsate with foul vigour, mutating the landscape, empowering the evil, and driving the righteous to madness. The barbaric Kurgan and Hung revel in this twisting energy, seeking the favour of the Dark Gods of Chaos, while the Norscans reave their way south for plunder and glory. Those who resist these monstrous foes are certainly brave, as without their efforts the Old World would certainly be ravaged.;;;;;;;;;;;;;x
LATE_MED;Blood of Ancients;;;;;;;;;;;;;x
LATE_MED_INFO;In Ulthuan, the Phoenix King Bel-Hathor of Saphery decided to send an expedition to the Old World for the first time in centuries. Lead by Finubar, Prince of Eataine, the expedition established contact and trade with many of the civilized nations they found there. In cold Naggaroth, Malekith, the Witch King, sent raiders and ambassadors to the four corners of the world, hoping to grow his wealth and influence and sabotage the efforts of the Phoenix King.;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE_DESC;The turn of the millennium was a time of great change and upheaval in what was left of the Empire. It was heralded in an ominous fashion when the city of Mordheim was destroyed by a warpstone meteor at the stroke of midnight. For over six centuries the Empire had been in a state of civil war, with each of claimants to the Imperial throne making war upon any who would deny their right to rule. This infighting would prove to have disastrous consequences...;;;;;;;;;;;;;x
BM_RISE_OF_THE_HANSA;Realms of Chaos;;;;;;;;;;;;;x
BM_CHAOS;Realms of Chaos;;;;;;;;;;;;;x
BM_CHAOS_DESC;The lands of the north are not just cold and savage. Beyond the merely mundane threats, the polar Warp Gates open to the Realm of Chaos and pulsate with foul vigour, mutating the landscape, empowering the evil, and driving the righteous to madness. The barbaric Kurgan and Hung revel in this twisting energy, seeking the favour of the dark gods of Chaos, while the Norscans reave their way south for plunder and glory. Those few that resist these monstrous foes are certainly brave, as without their efforts the Old World would certainly be ravaged.;;;;;;;;;;;;;x
BM_100_YEARS_WAR;Blood of Ancients;;;;;;;;;;;;x
BM_ANCIENTS;Blood of Ancients;;;;;;;;;;;;;x
BM_ANCIENTS_DESC;In Ulthuan, the Phoenix King Bel-Hathor of Saphery decided to send an expedition to the Old World for the first time in centuries. Lead by Finubar, Prince of Eataine, the expedition established contact and trade with many of the civilized nations they found there. In cold Naggaroth, Malekith, the Witch King, sent raiders and ambassadors to the four corners of the world, hoping to grow his wealth and influence and sabotage the efforts of the Phoenix King.;;;;;;;;;;;;;x
#Era 1 (846 characters)
ERA_CHAR_INFO_350000;Independent since the Night of the Restless Dead in 1681, Sylvania had long been ruled by the von Drak dynasty. This all changed in 1797 when Count Otto 'the Mad', now on his death bed, married his daughter Isabella to the mysterious Vlad von Carstein to keep his brother Leopold from the throne. Leopold von Drak saw his inheritance slipping away and protested the union, only to be hurled from the castle’s window by Vlad. This was later known as the First Defenestration of Drakenhof. Vlad and Isabella ruled for many years in a fair, but often brutal fashion (as can be seen in the Second through Thirteenth Defenestrations of Drakenhof). As Sylvania was backwater in the Empire, no one questioned how each new Count of Sylvania looked so similar to the one before him. However, Sylvania will not stay a backwater for much longer...;;;;;;;;;;;;;x
ERA_CHAR_INFO_600000;During what was later known as the Time of Three Emperors, the line of elected Emperors continued to hold against the Emperors of Talabecland and the Wolf Emperors of Middenland. This tenuous authority ended in 1979 IC when the infant Grand Baroness Magritta van der Maacht of Westerland was elected with only the support of Elector Counts of Wissenland, Stirland, and Averland. The Grand Theogonist, seeing this for the farce that was, declared the office of Emperor vacant. Magritta naturally disputes this and is willing to enforce her claim through force of arms if need be. The fractured states in the Empire could provide the opportunity for 'Empress' Magritta to make this dream become a reality, or it could be her destruction...;;;;;;;;;;;;;x
