#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
immortal_imperial;immortal_imperial (Cosmetic);;;;;;;;;;;;;x
oldchaosdwarfrev;oldchaosdwarfrev (Cosmetic);;;;;;;;;;;;;x
olddwarfrev;olddwarfrev (Cosmetic);;;;;;;;;;;;;x
unberogen;Unberogen;;;;;;;;;;;;;x
brigundian;Brigundian;;;;;;;;;;;;;x
thuringian;Thuringian;;;;;;;;;;;;;x
cherusen;Cherusen;;;;;;;;;;;;;x
teutogen;Teutogen;;;;;;;;;;;;;x
ostagoth;Ostagoth;;;;;;;;;;;;;x
udose;Udose;;;;;;;;;;;;;x
menogoth;Menogoth;;;;;;;;;;;;;x
asoborn;Asoborn;;;;;;;;;;;;;x
taleuten;Taleuten;;;;;;;;;;;;;x
endal;Endal;;;;;;;;;;;;;x
merogen;Merogen;;;;;;;;;;;;;x
fennone;Fennone;;;;;;;;;;;;;x
juton;Juton;;;;;;;;;;;;;x
astur;Astur;;;;;;;;;;;;;x
norteno;Norteno;;;;;;;;;;;;;x
tigarrese;Tigarrese;;;;;;;;;;;;;x
avilian;Avilian;;;;;;;;;;;;;x
galice;Galice;;;;;;;;;;;;;x
obregonese;Obregonese;;;;;;;;;;;;;x
montanese;Montanese;;;;;;;;;;;;;x
tierrasman;Tierrasman;;;;;;;;;;;;;x
estalian_group;Estalian;;;;;;;;;;;;;x
lucian;Lucian;;;;;;;;;;;;;x
umbrian;Umbrian;;;;;;;;;;;;;x
reman;Reman;;;;;;;;;;;;;x
miraglian;Miraglian;;;;;;;;;;;;;x
tobaran;Tobaran;;;;;;;;;;;;;x
oltremari;Oltremari;;;;;;;;;;;;;x
tilean_group;Tilean;;;;;;;;;;;;;x
sartosan_tilean;Tilean-Sartosan;;;;;;;;;;;;;x
sartosan_norscan;Norscan-Sartosan;;;;;;;;;;;;;x
sartosan_arabyan;Arabyan-Sartosan;;;;;;;;;;;;;x
sartosan_group;Sartosan;;;;;;;;;;;;;x
averlander;Averlander;;;;;;;;;;;;;x
drakwalder;Drakwalder;;;;;;;;;;;;;x
hochlander;Hochlander;;;;;;;;;;;;;x
middenlander;Middenlander;;;;;;;;;;;;;x
nordlander;Nordlander;;;;;;;;;;;;;x
ostermarker;Ostermarker;;;;;;;;;;;;;x
ostlander;Ostlander;;;;;;;;;;;;;x
reiklander;Reiklander;;;;;;;;;;;;;x
sollander;Sollander;;;;;;;;;;;;;x
stirlander;Stirlander;;;;;;;;;;;;;x
sylvanian;Sylvanian;;;;;;;;;;;;;x
talabeclander;Talabeclander;;;;;;;;;;;;;x
westerlander;Westerlander;;;;;;;;;;;;;x
wissenlander;Wissenlander;;;;;;;;;;;;;x
neueslander;Neuesländisch;;;;;;;;;;;;;x
imperial_group;Imperial;;;;;;;;;;;;;x
kislevite;Kislevite;;;;;;;;;;;;;x
gospodar;Gospodar;;;;;;;;;;;;;x
ungol;Ungol;;;;;;;;;;;;;x
ropsmann;Ropsmann;;;;;;;;;;;;;x
kyazak;Kyazak;;;;;;;;;;;;;x
kislevite_group;Kislevite;;;;;;;;;;;;;x
myken_group;Myken;;;;;;;;;;;;;x
myken;Myken;;;;;;;;;;;;;x
armoric;Armoric;;;;;;;;;;;;;x
bourgon;Bourgon;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
gisoren;Gisoren;;;;;;;;;;;;;x
carcassian;Carcassonnaise;;;;;;;;;;;;;x
gascon;Gascon;;;;;;;;;;;;;x
mousillonian;Mousillonian;;;;;;;;;;;;;x
nortagnese;Nortagnese;;;;;;;;;;;;;x
marcheur;Marcheur;;;;;;;;;;;;;x
bretonnian_group;Bretonnian;;;;;;;;;;;;;x
graeling;Græling;;;;;;;;;;;;;x
bjornling;Bjørnling;;;;;;;;;;;;;x
skaeling;Skæling;;;;;;;;;;;;;x
varg;Varg;;;;;;;;;;;;;x
sarl;Sarl;;;;;;;;;;;;;x
aesling;Æsling;;;;;;;;;;;;;x
baersonling;Bærsonling;;;;;;;;;;;;;x
fjarmann;Fjarmann;;;;;;;;;;;;;x
norscan_group;Norscan;;;;;;;;;;;;;x
orc_main;Orc;;;;;;;;;;;;;x
goblin_main;Goblin;;;;;;;;;;;;;x
orc_group;Orc;;;;;;;;;;;;;x
goblin_group;Goblin;;;;;;;;;;;;;x
amazon_main;Amazon;;;;;;;;;;;;;x
amazon_group;Amazon;;;;;;;;;;;;;x
ogre_main;Ogre;;;;;;;;;;;;;x
ogre_group;Ogre;;;;;;;;;;;;;x
skryre;Skryre;;;;;;;;;;;;;x
eshin;Eshin;;;;;;;;;;;;;x
moulder;Moulder;;;;;;;;;;;;;x
pestilens;Pestilens;;;;;;;;;;;;;x
skaven_main;Skaven;;;;;;;;;;;;;x
skaven_group;Skaven;;;;;;;;;;;;;x
loren;Loren;;;;;;;;;;;;;x
laurelornalim;Laurelornalim;;;;;;;;;;;;;x
asrai_group;Asrai;;;;;;;;;;;;;x
avelorni;Avelorni;;;;;;;;;;;;;x
yvressi;Yvressi;;;;;;;;;;;;;x
sapherian;Sapherian;;;;;;;;;;;;;x
eataini;Eataini;;;;;;;;;;;;;x
caledori;Caledori;;;;;;;;;;;;;x
ellyrian;Ellyrian;;;;;;;;;;;;;x
chracian;Chracian;;;;;;;;;;;;;x
cothiq;Cothiq;;;;;;;;;;;;;x
tiranoci;Tiranoci;;;;;;;;;;;;;x
nagarythi;Nagarythi;;;;;;;;;;;;;x
asur_group;Asur;;;;;;;;;;;;;x
lathai;Lathai;;;;;;;;;;;;;x
arvani;Arvani;;;;;;;;;;;;;x
asthoi;Asthoi;;;;;;;;;;;;;x
naggarondi;Naggarondi;;;;;;;;;;;;;x
ghrondari;Ghrondari;;;;;;;;;;;;;x
elthrai;Elthrai;;;;;;;;;;;;;x
ganethi;Ganethi;;;;;;;;;;;;;x
khlari;Khlari;;;;;;;;;;;;;x
kynthi;Kynthi;;;;;;;;;;;;;x
druchi_group;Druchii;;;;;;;;;;;;;x
mootlander;Mootlander;;;;;;;;;;;;;x
miyan;Miyan;;;;;;;;;;;;;x
halfling_group;Halfling;;;;;;;;;;;;;x
hexaotl;Hexaotl;;;;;;;;;;;;;x
tlaxtlan;Tlaxtlan;;;;;;;;;;;;;x
xlanhuapec;Xlanhupec;;;;;;;;;;;;;x
itza;Itza;;;;;;;;;;;;;x
zlatlan;Zlatlan;;;;;;;;;;;;;x
lizardman_group;Lizardman;;;;;;;;;;;;;x
lizardman_lost;Lost Lizardman;;;;;;;;;;;;;x
chi_an;Chi-An;;;;;;;;;;;;;x
kuj;Kuj;;;;;;;;;;;;;x
man_chu;Man-Chu;;;;;;;;;;;;;x
mung;Mung;;;;;;;;;;;;;x
tong;Tong;;;;;;;;;;;;;x
tu_ka;Tu-Ka;;;;;;;;;;;;;x
wei_tu;Wei Tu;;;;;;;;;;;;;x
wo;Wo;;;;;;;;;;;;;x
yin;Yin;;;;;;;;;;;;;x
hung_group;Hung;;;;;;;;;;;;;x
aghol;Aghol;;;;;;;;;;;;;x
dolgan;Dolgan;;;;;;;;;;;;;x
gharhar;Gharhar;;;;;;;;;;;;;x
hastling;Hastling;;;;;;;;;;;;;x
khazag;Khazag;;;;;;;;;;;;;x
kul;Kul;;;;;;;;;;;;;x
kvellig;Kvellig;;;;;;;;;;;;;x
tahmak;Tahmak;;;;;;;;;;;;;x
tokmar;Tokmar;;;;;;;;;;;;;x
yusak;Yusak;;;;;;;;;;;;;x
kurgan_group;Kurgan;;;;;;;;;;;;;x
cathayan;Cathayan;;;;;;;;;;;;;x
cathayan_group;Cathayan;;;;;;;;;;;;;x
nipponese;Nipponese;;;;;;;;;;;;;x
nipponese_group;Nipponese;;;;;;;;;;;;;x
beastman_main;Beastman;;;;;;;;;;;;;x
beastman_ungor;Beastman;;;;;;;;;;;;;
beastman_group;Beastman;;;;;;;;;;;;;x
dwarf_main;Dwarf;;;;;;;;;;;;;x
dwarf_imperial;Imperial Dwarf;;;;;;;;;;;;;x
dwarf_norse;Norse Dwarf;;;;;;;;;;;;;x
dwarf_old;Old Dwarf (Cosmetic);;;;;;;;;;;;;x
dwarf_group;Dawi;;;;;;;;;;;;;x
dwarf_chaos;Chaos Dwarf;;;;;;;;;;;;;x
dwarf_chaos_old;Chaos Dwarf (Cosmetic);;;;;;;;;;;;;x
dwarf_chaos_norse;Norse Chaos Dwarf;;;;;;;;;;;;;x
dwarf_chaos_group;Dawi Zharr;;;;;;;;;;;;;x
khemrian;Khemrian;;;;;;;;;;;;;x
canopic;Canopic;;;;;;;;;;;;;x
kashite;Kashite;;;;;;;;;;;;;x
nehekharan_group;Nehekharan;;;;;;;;;;;;;x
ramaccan;Ramaccan;;;;;;;;;;;;;x
medean;Medean;;;;;;;;;;;;;x
tevari;Tevari;;;;;;;;;;;;;x
cophic;Cophic;;;;;;;;;;;;;x
lakugan;Lakugan;;;;;;;;;;;;;x
wasai;Wasai;;;;;;;;;;;;;x
southlander_group;Southlander;;;;;;;;;;;;;x
bayaji;Bayaji;;;;;;;;;;;;;x
arabyan_group;Arabyan;;;;;;;;;;;;;x
lodringen;Lodringen;;;;;;;;;;;;;x
voragi;Voragi;;;;;;;;;;;;;x
strigany;Strigany;;;;;;;;;;;;;x
lahmian_group;Lahmian;;;;;;;;;;;;;x
lahmian;Lahmian;;;;;;;;;;;;;x
nehekharan;Nehekharan;;;;;;;;;;;;;x
lizardman;Lizardman;;;;;;;;;;;;;x
immortal_group;Immortal;;;;;;;;;;;;;x
old_imperial;Old Imperial;;;;;;;;;;;;;x
old_breton;Old Breton;;;;;;;;;;;;;x
sanguine_group;Sanguine;;;;;;;;;;;;;x
karondi;Karondi;;;;;;;;;;;;;x
daemonic_group;Daemonic;;;;;;;;;;;;;x
daemon_slaanesh;Slaaneshi;;;;;;;;;;;;;x
daemon_nurgle;Nurglite;;;;;;;;;;;;;x
daemon_tzeentch;Tzeentchian;;;;;;;;;;;;;x
daemon_khorne;Khornate;;;;;;;;;;;;;x
daemon_hashut;Hashuti;;;;;;;;;;;;;x
daemon_chaos;Chaos Undivided;;;;;;;;;;;;;x
eatainian;Eatainian;;;;;;;;;;;;;x
orient_group;Oriental;;;;;;;;;;;;;x
indish;Indish;;;;;;;;;;;;;x
draconic;Draconic;;;;;;;;;;;;;x
giant;Giant;;;;;;;;;;;;;x
forest_group;Forest Spirit;;;;;;;;;;;;;
forest_main;Loren Spirit;;;;;;;;;;;;;
monstrous_group;Monstrous;;;;;;;;;;;;;x
swapped_group;Gender Swapped (Cosmetic);;;;;;;;;;;;;
vampire_group;Vampiric (Cosmetic);;;;;;;;;;;;;
generic_vampire;Generic Vampire (Cosmetic);;;;;;;;;;;;;
lahmian_vampire;Lahmian Vampire (Cosmetic);;;;;;;;;;;;;
noculture;No Culture;;;;;;;;;;;;;x
###RELIGIONS;;;;;;;;;;;;;;
myrmidian_tilean;Reman Myrmidian;;;;;;;;;;;;;x
myrmidian_estalian;Magrittan Myrmidian;;;;;;;;;;;;;x
myrmidian;Myrmidian;;;;;;;;;;;;;x
shallyan;Shallyan;;;;;;;;;;;;;x
norse_ancestor_gods;Norse Ancestors;;;;;;;;;;;;;x
cadai_group;Cadai;;;;;;;;;;;;;x
cytharai_group;Cytharai;;;;;;;;;;;;;x
tzeentch;Tzeentchian;;;;;;;;;;;;;x
chaos;Chaos Undivided;;;;;;;;;;;;;x
old_ones;Old Ones;;;;;;;;;;;;;x
noreligion;No Religion;;;;;;;;;;;;;x
