#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###General;;;;;;;;;;;;;;
#Tribal;;;;;;;;;;;;;;
tribal_baron;Chief;;;;;;;;;;;;;x
tribal_baron_female;Chieftess;;;;;;;;;;;;;x
tribal_count;Chief;;;;;;;;;;;;;x
tribal_count_female;Chieftess;;;;;;;;;;;;;x
tribal_duke;High Chief;;;;;;;;;;;;;x
tribal_duke_female;High Chieftess;;;;;;;;;;;;;x
tribal_king;King;;;;;;;;;;;;;x
tribal_king_female;Queen;;;;;;;;;;;;;x
tribal_emperor;High King;;;;;;;;;;;;;x
tribal_emperor_female;High Queen;;;;;;;;;;;;;x
tribal_barony;Tribe;;;;;;;;;;;;;x
tribal_county;Chiefdom;;;;;;;;;;;;;x
tribal_duchy;High Chiefdom;;;;;;;;;;;;;x
tribal_kingdom;Kingdom;;;;;;;;;;;;;x
tribal_empire;High Kingdom;;;;;;;;;;;;;x
tribal_barony_of;Tribe of;;;;;;;;;;;;;x
tribal_county_of;Chiefdom of;;;;;;;;;;;;;x
tribal_duchy_of;High Chiefdom of;;;;;;;;;;;;;x
tribal_kingdom_of;Kingdom of;;;;;;;;;;;;;x
tribal_empire_of;High Kingdom of;;;;;;;;;;;;;x
#Barony;;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;x
baron_female;Baroness;;;;;;;;;;;;;x
count;Count;;;;;;;;;;;;;x
count_female;Countess;;;;;;;;;;;;;x
duke;Duke;;;;;;;;;;;;;x
duke_female;Duchess;;;;;;;;;;;;;x
king;King;;;;;;;;;;;;;x
king_female;Queen;;;;;;;;;;;;;x
emperor;High King;;;;;;;;;;;;;x
emperor_female;High Queen;;;;;;;;;;;;;x
barony;Barony;;;;;;;;;;;;;x
county;County;;;;;;;;;;;;;x
duchy;Duchy;;;;;;;;;;;;;x
kingdom;Kingdom;;;;;;;;;;;;;x
empire;High Kingdom;;;;;;;;;;;;;x
barony_of;Barony of;;;;;;;;;;;;;x
county_of;County of;;;;;;;;;;;;;x
duchy_of;Duchy of;;;;;;;;;;;;;x
kingdom_of;Kingdom of;;;;;;;;;;;;;x
empire_of;High Kingdom of;;;;;;;;;;;;;x
#City;;;;;;;;;;;;;;
city_baron;Mayor;;;;;;;;;;;;;x
city_baron_female;Mayor;;;;;;;;;;;;;x
city_count;Lord Mayor;;;;;;;;;;;;;x
city_count_female;Lady Mayor;;;;;;;;;;;;;x
city_duke;Lord Chancellor;;;;;;;;;;;;;x
city_duke_female;Lady Chancellor;;;;;;;;;;;;;x
city_king;Prince;;;;;;;;;;;;;x
city_king_female;Princess;;;;;;;;;;;;;x
city_emperor;Grand Prince;;;;;;;;;;;;;x
city_emperor_female;Grand Princess;;;;;;;;;;;;;x
city_barony;City;;;;;;;;;;;;;x
city_county;Free City;;;;;;;;;;;;;x
city_duchy;League;;;;;;;;;;;;;x
city_kingdom;Principality;;;;;;;;;;;;;x
city_empire;Grand Principality;;;;;;;;;;;;;x
city_barony_of;City of;;;;;;;;;;;;;x
city_county_of;Free City of;;;;;;;;;;;;;x
city_duchy_of;League of;;;;;;;;;;;;;x
city_kingdom_of;Principality of;;;;;;;;;;;;;x
city_empire_of;Grand Principality of;;;;;;;;;;;;;x
#Extra;;;;;;;;;;;;;;
title_queen_mother;Lady;;;;;;;;;;;;;x
count_title_queen_mother_female;Lady;;;;;;;;;;;;;x
duke_title_queen_mother_female;Lady;;;;;;;;;;;;;x
king_title_queen_mother_female;Lady;;;;;;;;;;;;;x
emperor_title_queen_mother_female;Lady;;;;;;;;;;;;;x
###Imperial Group;;;;;;;;;;;;;;
#Barony;;;;;;;;;;;;;;
baron_imperial_group;Baron;;;;;;;;;;;;;x
baron_female_imperial_group;Baroness;;;;;;;;;;;;;x
count_imperial_group;Count;;;;;;;;;;;;;x
count_female_imperial_group;Countess;;;;;;;;;;;;;x
duke_imperial_group;Duke;;;;;;;;;;;;;x
duke_female_imperial_group;Duchess;;;;;;;;;;;;;x
king_imperial_group;Graf;;;;;;;;;;;;;x
king_female_imperial_group;Gräfin;;;;;;;;;;;;;x
emperor_imperial_group;Emperor;;;;;;;;;;;;;x
emperor_female_imperial_group;Empress;;;;;;;;;;;;;x
barony_of_imperial_group;Barony of;;;;;;;;;;;;;x
county_of_imperial_group;County of;;;;;;;;;;;;;x
