#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###General
temple_baron;Priest;;;;;;;;;;;;;x
temple_baron_female;Priestess;;;;;;;;;;;;;x
temple_count;High Priest;;;;;;;;;;;;;x
temple_count_female;High Priestess;;;;;;;;;;;;;x
temple_duke;Patriarch;;;;;;;;;;;;;x
temple_duke_female;Matriarch;;;;;;;;;;;;;x
temple_king;Patriarch Superior;;;;;;;;;;;;;x
temple_king_female;Matriarch Superior;;;;;;;;;;;;;x
temple_emperor;High Patriarch;;;;;;;;;;;;;x
temple_emperor_female;High Matriarch;;;;;;;;;;;;;x
temple_barony;Temple;;;;;;;;;;;;;x
temple_county;Grand Temple;;;;;;;;;;;;;x
temple_duchy;Protectorate;;;;;;;;;;;;;x
temple_kingdom;Grand Protectorate;;;;;;;;;;;;;x
temple_empire;High Protectorate;;;;;;;;;;;;;x
temple_barony_of;Temple of;;;;;;;;;;;;;x
temple_county_of;Grand Temple of;;;;;;;;;;;;;x
temple_duchy_of;Protectorate of;;;;;;;;;;;;;x
temple_kingdom_of;Grand Protectorate of;;;;;;;;;;;;;x
temple_empire_of;High Protectorate of;;;;;;;;;;;;;x
job_spiritual;Court Priest;;;;;;;;;;;;;x
job_spiritual_female;Court Priestess;;;;;;;;;;;;;x
###Old World
#Sigmarite
temple_baron_sigmarite;Abbot;;;;;;;;;;;;;x
temple_baron_female_sigmarite;Abbess;;;;;;;;;;;;;x
temple_count_sigmarite;Lord Abbot;;;;;;;;;;;;;x
temple_count_female_sigmarite;Lady Abbess;;;;;;;;;;;;;x
temple_duke_sigmarite;Grand Lector;;;;;;;;;;;;;x
temple_duke_female_sigmarite;Grand Lector;;;;;;;;;;;;;x
temple_king_sigmarite;Prince-Lector;;;;;;;;;;;;;x
temple_king_female_sigmarite;Princess-Lector;;;;;;;;;;;;;x
temple_barony_of_sigmarite;Abbey of;;;;;;;;;;;;;x
temple_county_of_sigmarite;Grand Abbey of;;;;;;;;;;;;;x
temple_duchy_of_sigmarite;Grand Lectory of;;;;;;;;;;;;;x
temple_kingdom_of_sigmarite;Prince-Lectory of;;;;;;;;;;;;;x
#Grail
temple_baron_grail;Elder;;;;;;;;;;;;;x
temple_baron_female_grail;Elder;;;;;;;;;;;;;x
temple_count_grail;High Elder;;;;;;;;;;;;;x
temple_count_female_grail;High Elder;;;;;;;;;;;;;x
temple_barony_of_grail;Chapel of;;;;;;;;;;;;;x
temple_county_of_grail;Great Chapel of;;;;;;;;;;;;;x
#Ulrican
##Nothing unique
#Taalite
##Nothing unique
#Myrmidian
##Nothing unique
#Shallyan
##Nothing unique
#Manannite
##Nothing unique
#Old Faith
temple_baron_old_faith;Druid;;;;;;;;;;;;;x
temple_baron_female_old_faith;Druidess;;;;;;;;;;;;;x
temple_count_old_faith;Elder Druid;;;;;;;;;;;;;x
temple_count_female_old_faith;Elder Druidess;;;;;;;;;;;;;x
temple_duke_old_faith;Archdruid;;;;;;;;;;;;;x
temple_duke_female_old_faith;Archdruidess;;;;;;;;;;;;;x
